Continuing training from epoch 19 with edge weight 3.0
E19 | Step 1470/13500 | Loss: 12.4478 | l1: 1.7561 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0808 | edge: 0.6109 | saturation: 0.0000
E19 | Step 1480/13500 | Loss: 12.4385 | l1: 1.5114 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0569 | edge: 0.8702 | saturation: 0.0000
E19 | Step 1490/13500 | Loss: 12.5791 | l1: 1.7397 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0617 | edge: 0.7777 | saturation: 0.0000
E19 | Step 1500/13500 | Loss: 12.1154 | l1: 1.1924 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0349 | edge: 0.8881 | saturation: 0.0000
E19 | Step 1510/13500 | Loss: 11.6174 | l1: 0.9723 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0254 | edge: 0.6197 | saturation: 0.0000
E19 | Step 1520/13500 | Loss: 11.9490 | l1: 1.2985 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0368 | edge: 0.6137 | saturation: 0.0000
E19 | Step 1530/13500 | Loss: 11.6658 | l1: 0.9463 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0195 | edge: 0.6999 | saturation: 0.0000
E19 | Step 1540/13500 | Loss: 12.7086 | l1: 1.9594 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0880 | edge: 0.6611 | saturation: 0.0000
E19 | Step 1550/13500 | Loss: 11.8524 | l1: 1.1842 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0338 | edge: 0.6345 | saturation: 0.0000
E19 | Step 1560/13500 | Loss: 13.2216 | l1: 2.3174 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0975 | edge: 0.8036 | saturation: 0.0031
E19 | Step 1570/13500 | Loss: 11.3255 | l1: 0.7408 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0129 | edge: 0.5447 | saturation: 0.0271
E19 | Step 1580/13500 | Loss: 12.3201 | l1: 1.4240 | perceptual: 0.0000 | frequency: 10.0000 | mse: 0.0546 | edge: 0.8415 | saturation: 0.0000
